Phosphorus Worksheet,,,,,,,,,,,,,,,,,,
Enquist Lab,,,,First Standard,Second Standard,,Standard,Absorbance,Concentration (Âµg/mL),,,,,,,,,
"University of Arizona, EEB",,,0,0.005,0.016,,0,0.016,0,,,,,,,,,
Biosciences West Rm 221,,,2,0.042,0.046,,2,0.046,0.061,,,,,,,,,
,,,4,0.086,0.086,,4,0.086,0.122,,,,,,,,,
,,,8,0.141,0.168,,8,0.168,0.242,,,,,,,,,
,,,12,0.237,0.239,,12,0.239,0.364,,,,,,,,,
,,,16,0.314,0.319,,16,0.319,0.484,,,,,,,,,
,,,R2,0.99572,0.99906,,,,,,,,,,,,,
Run by: ,,,,,,,,,,,,,,,,,,
Total # of Samples :,,,,,,,,,,ORIGINAL VALUES,,,,CORECTED VALUES,,,,
SITE,INDIVIDUAL #,Rack Number,Row,Column,Sample Mass,Sample Absorbance,SAMPLE ug/mL,Volume of Sample (ml),P Mass, [P],Average,Standard Deviation,Coefficient of Variaton,STDEV,Average,Standard Deviation,Coefficient of Variation,
PERU,SPD01-T541-B1S-L5,tray1,1,A,3743,0.11,0.1558105509,20,3.1162110176,0.0832543686,,,,0.0823,,,,
PERU,SPD01-T541-B1S-L5,tray1,1,B,3704,0.104,0.1463300828,20,2.9266016561,0.0790119238,,,,0.0781,,,,
PERU,SPD01-T541-B1S-L5,tray1,1,C,3683,0.099,0.1384296927,20,2.7685938548,0.0751722469,0.0791,0.0040,0.0511,0.0743,0.0782,0.0040,0.0511,
PERU,SPD01-T541-B1S-L4,tray1,2,A,3911,0.134,0.1937324232,20,3.8746484637,0.0990705309,,,,0.0979,,,,
PERU,SPD01-T541-B1S-L4,tray1,2,B,3746,0.119,0.170031253,20,3.4006250599,0.0907801671,,,,0.0897,,,,
PERU,SPD01-T541-B1S-L4,tray1,2,C,3731,0.127,0.1826718771,20,3.6534375419,0.0979211349,0.0959,0.0045,0.0468,0.0968,0.0948,0.0044,0.0468,
PERU,SPD01-T495-B11H-L3,tray1,3,A,3670,0.142,0.2063730473,20,4.1274609457,0.1124648759,,,,0.1112,,,,
PERU,SPD01-T495-B11H-L3,tray1,3,B,3624,0.131,0.1889921891,20,3.7798437829,0.1043003251,,,,0.1031,,,,
PERU,SPD01-T495-B11H-L3,tray1,3,C,3714,0.14,0.2032128913,20,4.0642578252,0.1094307438,0.1087,0.0041,0.0380,0.1082,0.1075,0.0041,0.0380,
PERU,SPD01-T541-B1S-L3,tray1,4,A,3808,0.121,0.173191409,20,3.4638281804,0.0909618745,,,,0.0899,,,,
PERU,SPD01-T541-B1S-L3,tray1,4,B,3733,0.111,0.1573906289,20,3.1478125779,0.0843239373,,,,0.0834,,,,
PERU,SPD01-T541-B1S-L3,tray1,4,C,3863,0.115,0.1637109409,20,3.2742188189,0.0847584473,0.0867,0.0037,0.0428,0.0838,0.0857,0.0037,0.0428,
PERU,SPD01-T495-B11H-L5,tray1,5,A,3966,0.121,0.173191409,20,3.4638281804,0.0873380782,,,,0.0863,,,,
PERU,SPD01-T495-B11H-L5,tray1,5,B,3765,0.111,0.1573906289,20,3.1478125779,0.0836072398,,,,0.0827,,,,
PERU,SPD01-T495-B11H-L5,tray1,5,C,3688,0.1,0.1400097708,20,2.8001954151,0.0759272076,0.0823,0.0058,0.0707,0.0751,0.0813,0.0058,0.0707,
PERU,SPD01-T495-B11H-L4,tray1,6,A,3758,0.107,0.1510703168,20,3.0214063369,0.0803993171,,,,0.0795,,,,
PERU,SPD01-T495-B11H-L4,tray1,6,B,3782,0.114,0.1621308629,20,3.2426172586,0.0857381613,,,,0.0848,,,,
PERU,SPD01-T495-B11H-L4,tray1,6,C,3989,0.117,0.166871097,20,3.3374219394,0.083665629,0.0833,0.0027,0.0323,0.0827,0.0823,0.0027,0.0323,
PERU,SPD01-T495-B1S-L5,tray1,7,A,3719,0.147,0.2142734374,20,4.285468747,0.115231749,,,,0.1139,,,,
PERU,SPD01-T495-B1S-L5,tray1,7,B,3695,0.149,0.2174335934,20,4.3486718675,0.1176907136,,,,0.1163,,,,
PERU,SPD01-T495-B1S-L5,tray1,7,C,3715,0.144,0.2095332033,20,4.1906640662,0.112803878,0.1152,0.0024,0.0212,0.1115,0.1139,0.0024,0.0212,
PERU,SPD01-T495-B1S-L4,tray1,8,A,3680,0.12,0.171611331,20,3.4322266202,0.0932670277,,,,0.0922,,,,
PERU,SPD01-T495-B1S-L4,tray1,8,B,3859,0.125,0.1795117211,20,3.5902344214,0.0930353569,,,,0.0920,,,,
PERU,SPD01-T495-B1S-L4,tray1,8,C,3754,0.134,0.1937324232,20,3.8746484637,0.1032138642,0.0965,0.0058,0.0602,0.1020,0.0954,0.0057,0.0602,
PERU,SPD01-T495-B1S-L3,tray2,1,A,3752,0.183,0.2711562458,20,5.4231249161,0.1445395767,,,,0.1429,,,,
PERU,SPD01-T495-B1S-L3,tray2,1,B,3721,0.184,0.2727363238,20,5.4547264764,0.1465930254,,,,0.1449,,,,
PERU,SPD01-T495-B1S-L3,tray2,1,C,3598,0.266,0.4023027209,20,8.0460544172,0.2236257481,0.1716,0.0451,0.2627,0.2211,0.1696,0.0446,0.2627,File:P_2013_Peru_redo_1
PERU,SPD01-T231-B1S-L4,tray2,2,A,3646,0.102,0.1431699268,20,2.8633985356,0.0785353411,,,,0.0776,,,,
PERU,SPD01-T231-B1S-L4,tray2,2,B,3835,0.101,0.1415898488,20,2.8317969753,0.0738408599,,,,0.0730,,,,
PERU,SPD01-T231-B1S-L4,tray2,2,C,3743,0.098,0.1368496147,20,2.7369922946,0.0731229574,0.0752,0.0029,0.0391,0.0723,0.0743,0.0029,0.0391,
PERU,SPD01-T231-B1S-L5,tray2,3,A,3665,0.134,0.1937324232,20,3.8746484637,0.1057202855,,,,0.1045,,,,
PERU,SPD01-T231-B1S-L5,tray2,3,B,3785,0.12,0.171611331,20,3.4322266202,0.0906796993,,,,0.0896,,,,
PERU,SPD01-T231-B1S-L5,tray2,3,C,3867,0.115,0.1637109409,20,3.2742188189,0.0846707737,0.0937,0.0108,0.1157,0.0837,0.0926,0.0107,0.1157,
PERU,SPD01-T231-B1S-L3,tray2,4,A,3696,0.108,0.1526503949,20,3.0530078971,0.0826030275,,,,0.0817,,,,
PERU,SPD01-T231-B1S-L3,tray2,4,B,3754,0.104,0.1463300828,20,2.9266016561,0.077959554,,,,0.0771,,,,
PERU,SPD01-T231-B1S-L3,tray2,4,C,3696,0.094,0.1305293027,20,2.6105860536,0.0706327395,0.0771,0.0060,0.0783,0.0698,0.0762,0.0060,0.0783,
PERU,SPD01-T165-B1S-L5,tray2,5,A,3954,0.124,0.1779316431,20,3.5586328612,0.0900008311,,,,0.0890,,,,
PERU,SPD01-T165-B1S-L5,tray2,5,B,3848,0.121,0.173191409,20,3.4638281804,0.0900163249,,,,0.0890,,,,
PERU,SPD01-T165-B1S-L5,tray2,5,C,3866,0.133,0.1921523452,20,3.8430469035,0.0994062831,0.0931,0.0054,0.0583,0.0983,0.0921,0.0054,0.0583,
PERU,SPD01-T165-B1S-L4,tray2,6,A,3736,0.127,0.1826718771,20,3.6534375419,0.0977900841,,,,0.0967,,,,
PERU,SPD01-T165-B1S-L4,tray2,6,B,3822,0.128,0.1842519551,20,3.6850391022,0.0964165124,,,,0.0953,,,,
PERU,SPD01-T165-B1S-L4,tray2,6,C,3908,0.129,0.1858320331,20,3.7166406624,0.0951033946,0.0964,0.0013,0.0139,0.0940,0.0953,0.0013,0.0139,
PERU,SPD01-T165-B11H-L5,tray2,7,A,3775,0.112,0.1589707069,20,3.1794141381,0.0842228911,,,,0.0833,,,,
PERU,SPD01-T165-B11H-L5,tray2,7,B,3584,0.106,0.1494902388,20,2.9898047766,0.0834208922,,,,0.0825,,,,
PERU,SPD01-T165-B11H-L5,tray2,7,C,3863,0.121,0.173191409,20,3.4638281804,0.0896667921,0.0858,0.0034,0.0396,0.0886,0.0848,0.0034,0.0396,
PERU,SPD01-T165-B1S-L3,tray2,8,A,3809,0.134,0.1937324232,20,3.8746484637,0.1017235092,,,,0.1006,,,,
PERU,SPD01-T165-B1S-L3,tray2,8,B,3878,0.141,0.2047929693,20,4.0958593855,0.1056178284,,,,0.1044,,,,
PERU,SPD01-T165-B1S-L3,tray2,8,C,3807,0.121,0.173191409,20,3.4638281804,0.0909857678,0.0994,0.0076,0.0762,0.0899,0.0983,0.0075,0.0762,
PERU,SPD01-T165-B11H-L3,tray3,1,A,3743,0.095,0.1321093807,20,2.6421876138,0.0705901046,,,,0.0698,,,,File:P_2013_Peru_redo_1
PERU,SPD01-T165-B11H-L3,tray3,1,B,3755,0.094,0.1305293027,20,2.6105860536,0.0695229309,,,,0.0687,,,,File:P_2013_Peru_redo_1
PERU,SPD01-T165-B11H-L3,tray3,1,C,3867,0.091,0.1257890686,20,2.5157813728,0.0650577029,0.0684,0.0029,0.0429,0.0643,0.0676,0.0029,0.0429,File:P_2013_Peru_redo_1
PERU,SPD01-T165-B11H-L4,tray3,2,A,3929,0.112,0.1589707069,20,3.1794141381,0.0809217139,,,,0.0800,,,,File:P_2013_Peru_redo_1
PERU,SPD01-T165-B11H-L4,tray3,2,B,3798,0.103,0.1447500048,20,2.8950000958,0.0762243311,,,,0.0754,,,,File:P_2013_Peru_redo_1
PERU,SPD01-T165-B11H-L4,tray3,2,C,3647,0.1,0.1400097708,20,2.8001954151,0.0767807901,0.0780,0.0026,0.0329,0.0759,0.0771,0.0025,0.0329,File:P_2013_Peru_redo_1
PERU,SPD01-T152-B1S-L4,tray3,3,A,3658,0.249,0.3754413946,20,7.5088278929,0.2052714022,,,,0.2029,,,,File:P_2013_Peru_redo_1
PERU,SPD01-T152-B1S-L4,tray3,3,B,3583,0.258,0.3896620968,20,7.7932419352,0.2175060546,,,,0.2150,,,,File:P_2013_Peru_redo_1
PERU,SPD01-T152-B1S-L4,tray3,3,C,3772,0.275,0.416523423,20,8.3304684595,0.2208501712,0.2145,0.0082,0.0382,0.2183,0.2121,0.0081,0.0382,File:P_2013_Peru_redo_1
PERU,SPD01-T152-B11H-L5,tray3,4,A,3837,0.19,0.2822167919,20,5.6443358379,0.1471028365,,,,0.1454,,,,File:P_2013_Peru_redo_1
PERU,SPD01-T152-B11H-L5,tray3,4,B,3701,0.189,0.2806367139,20,5.6127342777,0.1516545333,,,,0.1499,,,,File:P_2013_Peru_redo_1
PERU,SPD01-T152-B11H-L5,tray3,4,C,3743,0.185,0.2743164018,20,5.4863280366,0.1465756889,0.1484,0.0028,0.0188,0.1449,0.1467,0.0028,0.0188,File:P_2013_Peru_redo_1
PERU,SPD01-T152-B11H-L3,tray3,5,A,3631,0.174,0.2569355437,20,5.1387108739,0.1415232959,,,,0.1399,,,,File:P_2013_Peru_redo_1
PERU,SPD01-T152-B11H-L3,tray3,5,B,3771,0.177,0.2616757777,20,5.2335155546,0.1387832287,,,,0.1372,,,,File:P_2013_Peru_redo_1
PERU,SPD01-T152-B11H-L3,tray3,5,C,3935,0.181,0.2679960898,20,5.3599217956,0.1362114815,0.1388,0.0027,0.0191,0.1347,0.1373,0.0026,0.0191,File:P_2013_Peru_redo_1
PERU,SPD01-T152-B11H-L4,tray3,6,A,3850,0.182,0.2695761678,20,5.3915233559,0.1400395677,,,,0.1384,,,,File:P_2013_Peru_redo_1
PERU,SPD01-T152-B11H-L4,tray3,6,B,3932,0.204,0.3043378841,20,6.0867576815,0.1548005514,,,,0.1530,,,,File:P_2013_Peru_redo_1
PERU,SPD01-T152-B11H-L4,tray3,6,C,3926,0.167,0.2458749976,20,4.9174999521,0.125254711,0.1400,0.0148,0.1055,0.1238,0.1384,0.0146,0.1055,File:P_2013_Peru_redo_1
PERU,SPD01-T146-B1S-L4,tray3,7,A,3668,0.163,0.2395546856,20,4.7910937111,0.1306186944,,,,0.1291,,,,File:P_2013_Peru_redo_1
PERU,SPD01-T146-B1S-L4,tray3,7,B,3702,0.164,0.2411347636,20,4.8226952713,0.1302726978,,,,0.1288,,,,File:P_2013_Peru_redo_1
PERU,SPD01-T146-B1S-L4,tray3,7,C,3701,0.157,0.2300742175,20,4.6014843495,0.124330839,0.1284,0.0035,0.0275,0.1229,0.1269,0.0035,0.0275,File:P_2013_Peru_redo_1
PERU,SPD01-T146-B1S-L3,tray3,8,A,3826,0.248,0.3738613166,20,7.4772263326,0.1954319481,,,,0.1932,,,,File:P_2013_Peru_redo_1
PERU,SPD01-T146-B1S-L3,tray3,8,B,3685,0.252,0.3801816287,20,7.6036325737,0.206340097,,,,0.2040,,,,File:P_2013_Peru_redo_1
PERU,SPD01-T146-B1S-L3,tray3,8,C,3794,0.257,0.3880820187,20,7.7616403749,0.2045767099,0.2021,0.0059,0.0290,0.2022,0.1998,0.0058,0.0290,File:P_2013_Peru_redo_1
Hard Red Spring Wheat Flour,,,1,A,3748,0.168,0.2474550756,20,4.9491015123,0.1320464651,,,,0.9638,,,,
Hard Red Spring Wheat Flour,,,2,B,3680,0.165,0.2427148416,20,4.8542968316,0.13191024,,,,0.9628,,,,
Hard Red Spring Wheat Flour,,,3,C,3685,0.169,0.2490351536,20,4.9807030726,0.1351615488,0.1330,0.0018,0.0138,0.9866,,,,
Hard Red Spring Wheat Flour,,,4,D,3663,0.172,0.2537753877,20,5.0755077533,0.1385615002,,,,1.0114,,,,
Hard Red Spring Wheat Flour,,,5,E,3685,0.18,0.2664160118,20,5.3283202354,0.1445948503,,,,1.0554,CORECTION FACTOR,,,
Hard Red Spring Wheat Flour,,,6,F,3725,0.165,0.2427148416,20,4.8542968316,0.1303166935,0.1378,0.0072,0.0520,0.9512,0.9886,,,
,,,,,,,,,,,0.1354,0.1354,0.0054,,,,,
